#               time            E_Demag  E_UniformExchange            E_total                m_x                m_y                m_z            m_error          real_time          rhs_evals               step 
#                <s>                <J>                <J>                <J>                 <>                 <>                 <>                 <>                <s>                 <>                 <> 
                   0  9.66064177776e-19  2.72058213544e-18  3.68664631321e-18 -7.53672008949e-07  7.53672007504e-07    0.0245103767411  2.22044604925e-16      1578232576.03                  0                  0 
               1e-11  9.66846865925e-19  2.72044661545e-18  3.68729348138e-18 -0.000272009040692    0.0123462697952    0.0245127278947  1.15141582935e-08      1578232576.16                 79                  1 
               2e-11  9.69244385145e-19  2.71965876666e-18   3.6889031518e-18 -0.000847284600103    0.0230791802558    0.0245286800687  4.10850420351e-09      1578232576.23                115                  2 
               3e-11  9.72655055876e-19  2.71843607906e-18  3.69109113494e-18  -0.00182579272304    0.0321081466145    0.0245580044311  1.95635618816e-09      1578232576.29                141                  3 
               4e-11  9.75812686193e-19  2.71771515867e-18  3.69352784486e-18   -0.0032914124574    0.0398866702667    0.0245884420375  1.93673121984e-09      1578232576.34                169                  4 
               5e-11  9.78014687833e-19  2.71807483369e-18  3.69608952152e-18  -0.00529608992403    0.0470850666718    0.0245859346455  2.00548744278e-09      1578232576.41                209                  5 
               6e-11   9.7949351251e-19  2.71934829133e-18  3.69884180384e-18  -0.00785318879762    0.0542506421054     0.024507126058  1.25907828608e-09      1578232576.47                253                  6 
               7e-11  9.80958105129e-19  2.72096825301e-18  3.70192635814e-18   -0.0109359275505     0.061674952836    0.0243455839266  1.74640146788e-09      1578232576.53                294                  7 
               8e-11  9.83654953545e-19   2.7218551706e-18  3.70551012414e-18   -0.0145126469716    0.0694516922922     0.024146234433  1.33548949677e-09      1578232576.59                350                  8 
               9e-11   9.8843921483e-19  2.72126461102e-18  3.70970382585e-18   -0.0185640342988     0.077544214072    0.0239832973452  1.16545872952e-09      1578232576.65                378                  9 
               1e-10  9.94854637158e-19  2.71967027103e-18  3.71452490819e-18   -0.0230766837634    0.0858694132776     0.023910003366  3.86102516625e-09       1578232576.7                410                 10 
             1.1e-10  1.00199868438e-18  2.71794159667e-18  3.71994028105e-18   -0.0280132558278    0.0943082093197    0.0239243943403  3.03259573009e-09      1578232576.76                460                 11 
             1.2e-10  1.00931803046e-18  2.71656613683e-18  3.72588416729e-18   -0.0332737565601     0.102669241779    0.0239799719517   2.7651566592e-09      1578232576.83                506                 12 
             1.3e-10  1.01657548174e-18  2.71568409916e-18   3.7322595809e-18   -0.0387021339157     0.110705261351    0.0240070556114  2.36278929755e-09      1578232576.88                548                 13 
             1.4e-10  1.02343248762e-18  2.71553046156e-18  3.73896294918e-18   -0.0441515933202     0.118176366065    0.0239520807597  2.56422505451e-09      1578232576.95                594                 14 
             1.5e-10  1.02957586146e-18  2.71633632864e-18   3.7459121901e-18   -0.0495663098876     0.124936041015    0.0238052833957  2.20376894511e-09      1578232577.02                656                 15 
             1.6e-10  1.03507986114e-18  2.71799606635e-18   3.7530759275e-18   -0.0550117875008     0.130985958391    0.0235874988481  2.00197869393e-09      1578232577.08                693                 16 
             1.7e-10  1.04037681369e-18  2.72008896476e-18  3.76046577844e-18   -0.0606346620135     0.136463020658     0.023326615033  1.85139070741e-09      1578232577.14                723                 17 
             1.8e-10  1.04617872579e-18  2.72193015675e-18  3.76810888254e-18   -0.0665856611544     0.141572808608    0.0230502795688  1.70253022791e-09      1578232577.19                760                 18 
             1.9e-10  1.05317709002e-18  2.72285282439e-18  3.77602991441e-18   -0.0729523906598     0.146497924328    0.0227907005497  1.65369695715e-09      1578232577.24                798                 19 
               2e-10  1.06162163627e-18  2.72262093412e-18  3.78424257039e-18   -0.0797342804668     0.151324446301    0.0225823281681   1.8413166547e-09      1578232577.31                858                 20 
             2.1e-10  1.07132385749e-18  2.72142150194e-18  3.79274535944e-18   -0.0868632563635     0.156022558162    0.0224476595963  1.79505654785e-09      1578232577.39                916                 21 
             2.2e-10  1.08181528615e-18  2.71970203039e-18  3.80151731653e-18   -0.0942484463678      0.16048703678     0.022381921196   1.7420781484e-09      1578232577.46                954                 22 
             2.3e-10  1.09248342059e-18  2.71803421807e-18  3.81051763866e-18    -0.101811862286     0.164607099127    0.0223484201087  1.70944824962e-09      1578232577.52                983                 23 
             2.4e-10  1.10273856945e-18  2.71695521952e-18  3.81969378897e-18    -0.109497921357     0.168318941815    0.0222927801106  1.70261515997e-09      1578232577.58               1012                 24 
             2.5e-10  1.11223464547e-18  2.71675819014e-18  3.82899283562e-18    -0.117262047761     0.171614555345    0.0221713504253   1.7040534539e-09      1578232577.63               1048                 25 
             2.6e-10  1.12101560745e-18  2.71735329031e-18  3.83836889776e-18    -0.125055877672     0.174514411668    0.0219765434309  1.73369674172e-09      1578232577.69               1090                 26 
             2.7e-10  1.12945192182e-18  2.71833092991e-18  3.84778285172e-18    -0.132824228564     0.177031853172     0.021740657008  1.70872971328e-09      1578232577.78               1146                 27 
             2.8e-10  1.13802987076e-18  2.71916766272e-18  3.85719753348e-18    -0.140517299473     0.179155408144    0.0215154670514  1.69282710072e-09      1578232577.84               1200                 28 
             2.9e-10  1.14712950388e-18  2.71944510288e-18  3.86657460676e-18    -0.148109041774     0.180857070757    0.0213419048504  1.63031965705e-09      1578232577.91               1256                 29 
               3e-10  1.15685745562e-18  2.71901918793e-18  3.87587664355e-18    -0.155608777343     0.182116231822    0.0212284296913  1.56910229254e-09      1578232577.98               1312                 30 
             3.1e-10  1.16699665156e-18   2.7180772228e-18  3.88507387437e-18    -0.163058075412     0.182941505706    0.0211489896168  1.53567325523e-09      1578232578.05               1366                 31 
             3.2e-10  1.17710426112e-18  2.71704647855e-18  3.89415073968e-18    -0.170512167525     0.183376839385    0.0210596853034  1.47448353527e-09      1578232578.12               1420                 32 
             3.3e-10  1.18673789183e-18  2.71636923814e-18  3.90310712997e-18    -0.178012973171     0.183489307902    0.0209237666708  1.41417988431e-09      1578232578.18               1458                 33 
             3.4e-10  1.19568331974e-18  2.71626989511e-18  3.91195321485e-18    -0.185566111116     0.183345642461    0.0207304617798  1.38389166793e-09      1578232578.23               1486                 34 
