#              step               time            E_total                m_x                m_y                m_z             E_exch            E_demag          zeeman_Hx          zeeman_Hy          zeeman_Hz           E_zeeman 
#                <>                <s>                <J>                 <>                 <>                 <>                  J                  J              <A/m>              <A/m>              <A/m>                  J 
                 1 1.000000000000e-11 4.114334864862e-18 9.639158216878e-01 1.351987055444e-01 -1.251284169068e-02 9.462883090765e-20 5.500598170027e-19 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 3.469646216952e-18 
                 2 2.000000000000e-11 4.111800192329e-18 9.551458595497e-01 1.622615190741e-01 -2.439457986339e-02 1.068768168613e-19 5.850938335318e-19 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 3.419829541936e-18 
                 3 3.000000000000e-11 4.105960637142e-18 9.390284484918e-01 2.049519777054e-01 -3.537417201391e-02 1.257296564050e-19 6.474100314225e-19 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 3.332820949315e-18 
                 4 4.000000000000e-11 4.095828212297e-18 9.138277829370e-01 2.604104268579e-01 -4.515956521911e-02 1.489205883117e-19 7.428478302707e-19 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 3.204059793714e-18 
                 5 5.000000000000e-11 4.081014668444e-18 8.780829451397e-01 3.250982567449e-01 -5.354654626882e-02 1.740578455466e-19 8.765191309329e-19 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 3.030437691965e-18 
                 6 6.000000000000e-11 4.061635305999e-18 8.309499129044e-01 3.952456845320e-01 -6.055655138941e-02 1.994877381023e-19 1.050875855803e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 2.811271712094e-18 
                 7 7.000000000000e-11 4.038015200277e-18 7.721046548577e-01 4.673160591265e-01 -6.650576166577e-02 2.252029277967e-19 1.265164954192e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 2.547647318288e-18 
                 8 8.000000000000e-11 4.010343109829e-18 7.013616250411e-01 5.382109283393e-01 -7.197356115047e-02 2.515934234736e-19 1.517871338733e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 2.240878347623e-18 
                 9 9.000000000000e-11 3.978354536510e-18 6.182107254885e-01 6.051145199060e-01 -7.773249187836e-02 2.793639604583e-19 1.808091864338e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 1.890898711713e-18 
                10 1.000000000000e-10 3.941013585170e-18 5.214698298792e-01 6.649771184906e-01 -8.468845004038e-02 3.112542101609e-19 2.134445944181e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 1.495313430828e-18 
                11 1.100000000000e-10 3.896129823980e-18 4.093184100494e-01 7.136828408271e-01 -9.377049033170e-02 3.539251933127e-19 2.492145129919e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 1.050059500749e-18 
                12 1.200000000000e-10 3.840070447912e-18 2.800952813212e-01 7.451696079337e-01 -1.055832652162e-01 4.183904591860e-19 2.868762797768e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 5.529171909581e-19 
                13 1.300000000000e-10 3.768363177827e-18 1.341768119345e-01 7.516086697393e-01 -1.197397117162e-01 5.121157686343e-19 3.245922565136e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 1.032484405647e-20 
                14 1.400000000000e-10 3.677714743279e-18 -2.433201843298e-02 7.260314554391e-01 -1.345744552936e-01 6.263847293809e-19 3.609405450674e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -5.580754367759e-19 
                15 1.500000000000e-10 3.567213703475e-18 -1.885633162953e-01 6.655439977387e-01 -1.480588224342e-01 7.374769786955e-19 3.954811240451e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -1.125074515671e-18 
                16 1.600000000000e-10 3.436415251332e-18 -3.510329922056e-01 5.711111519120e-01 -1.588469973507e-01 8.191520255521e-19 4.280941660002e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -1.663678434222e-18 
                17 1.700000000000e-10 3.283777178933e-18 -5.031609556458e-01 4.454091715594e-01 -1.661003669074e-01 8.690156670602e-19 4.558714353862e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -2.143952841989e-18 
                18 1.800000000000e-10 3.110473660164e-18 -6.352122961489e-01 2.933324242304e-01 -1.685839965765e-01 9.242231971200e-19 4.719383249463e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -2.533132786418e-18 
                19 1.900000000000e-10 2.922341165579e-18 -7.408805561359e-01 1.219377537221e-01 -1.647173374145e-01 9.848925246931e-19 4.749947744179e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -2.812499103292e-18 
                20 2.000000000000e-10 2.723614277423e-18 -8.158893463104e-01 -6.180270040079e-02 -1.527449555666e-01 1.000407689997e-18 4.693975533553e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -2.970768946127e-18 
                21 2.100000000000e-10 2.517619095156e-18 -8.519467889242e-01 -2.451078029429e-01 -1.303667320542e-01 9.329099495762e-19 4.570298263812e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -2.985589118232e-18 
                22 2.200000000000e-10 2.314168722303e-18 -8.395703153458e-01 -4.004204966534e-01 -9.569480587836e-02 8.314563551868e-19 4.322455610401e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -2.839743243285e-18 
                23 2.300000000000e-10 2.135049834139e-18 -7.864766919395e-01 -4.860653501160e-01 -5.250214606674e-02 8.261363435623e-19 3.897500333009e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -2.588586842432e-18 
                24 2.400000000000e-10 1.988624132176e-18 -7.269716840190e-01 -4.839956231443e-01 -1.201677186708e-02 9.338507296437e-19 3.425121739634e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -2.370348337102e-18 
                25 2.500000000000e-10 1.864126077556e-18 -6.844908856044e-01 -4.143644135843e-01 1.970784341343e-02 1.113704076385e-18 3.008928322290e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -2.258506321118e-18 
                26 2.600000000000e-10 1.755292662694e-18 -6.622898957325e-01 -3.080390527989e-01 4.218906962039e-02 1.326389226473e-18 2.674067962418e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -2.245164526197e-18 
                27 2.700000000000e-10 1.666244156775e-18 -6.562608103940e-01 -1.969474118503e-01 5.556994050135e-02 1.542059420602e-18 2.418756045884e-18 -1.957605800030e+04 3.421831276476e+03 0.000000000000e+00 -2.294571309710e-18 
