#             steps          E_total_1          E_total_2          E_total_3          E_total_4          E_total_5          E_total_6          E_total_7          E_total_8 
#                <>                <J>                <J>                <J>                <J>                <J>                <J>                <J>                <J> 
                 0 -1.308109356292e-18 -1.286813755484e-18 -1.240705413505e-18 -1.204823262326e-18 -1.206622300182e-18 -1.247689002114e-18 -1.301235522334e-18 -1.327104000000e-18 
                10 -1.308109356292e-18 -1.298408796268e-18 -1.272564629129e-18 -1.232998245716e-18 -1.214520175651e-18 -1.268296256436e-18 -1.310547601928e-18 -1.327104000000e-18 
                20 -1.308109356292e-18 -1.301793969534e-18 -1.284298620580e-18 -1.254250997437e-18 -1.220310838219e-18 -1.274336194066e-18 -1.312692647588e-18 -1.327104000000e-18 
                30 -1.308109356292e-18 -1.303188379598e-18 -1.288961356429e-18 -1.260184285525e-18 -1.221114749330e-18 -1.274858873643e-18 -1.313113718508e-18 -1.327104000000e-18 
                40 -1.308109356292e-18 -1.304041053997e-18 -1.291749160573e-18 -1.262048991217e-18 -1.220393763998e-18 -1.274816062102e-18 -1.313366713602e-18 -1.327104000000e-18 
                50 -1.308109356292e-18 -1.304496251327e-18 -1.293226078939e-18 -1.262559049671e-18 -1.220197970026e-18 -1.275067675161e-18 -1.313667755886e-18 -1.327104000000e-18 
                60 -1.308109356292e-18 -1.304731737805e-18 -1.293979696602e-18 -1.262805095744e-18 -1.220258273893e-18 -1.275354874653e-18 -1.313921372301e-18 -1.327104000000e-18 
                70 -1.308109356292e-18 -1.304867263461e-18 -1.294409301704e-18 -1.263052713988e-18 -1.220300419816e-18 -1.275544561328e-18 -1.314102838946e-18 -1.327104000000e-18 
                80 -1.308109356292e-18 -1.304951904755e-18 -1.294678749227e-18 -1.263310595325e-18 -1.220287179890e-18 -1.275639123887e-18 -1.314223118189e-18 -1.327104000000e-18 
                90 -1.308109356292e-18 -1.305008810762e-18 -1.294863026958e-18 -1.263557589030e-18 -1.220237158167e-18 -1.275669361250e-18 -1.314299882318e-18 -1.327104000000e-18 
               100 -1.308109356292e-18 -1.305049416389e-18 -1.294997947824e-18 -1.263782913237e-18 -1.220168368299e-18 -1.275659013158e-18 -1.314346552911e-18 -1.327104000000e-18 
               110 -1.308109356292e-18 -1.305079340061e-18 -1.295100464848e-18 -1.263980906158e-18 -1.220093067692e-18 -1.275623509745e-18 -1.314371694238e-18 -1.327104000000e-18 
               120 -1.308109356292e-18 -1.305101265527e-18 -1.295177931739e-18 -1.264145523611e-18 -1.220021781267e-18 -1.275574804514e-18 -1.314381571330e-18 -1.327104000000e-18 
               130 -1.308109356292e-18 -1.305118250766e-18 -1.295239813293e-18 -1.264284419728e-18 -1.219955724866e-18 -1.275519119412e-18 -1.314381316482e-18 -1.327104000000e-18 
               140 -1.308109356292e-18 -1.305131006207e-18 -1.295287429109e-18 -1.264394838220e-18 -1.219901084265e-18 -1.275462770789e-18 -1.314374760403e-18 -1.327104000000e-18 
               150 -1.308109356292e-18 -1.305141076163e-18 -1.295325909939e-18 -1.264483876775e-18 -1.219855410661e-18 -1.275407315909e-18 -1.314363783182e-18 -1.327104000000e-18 
               160 -1.308109356292e-18 -1.305148758817e-18 -1.295355677296e-18 -1.264551358341e-18 -1.219821541296e-18 -1.275355517393e-18 -1.314350675043e-18 -1.327104000000e-18 
               170 -1.308109356292e-18 -1.305154580508e-18 -1.295378404994e-18 -1.264599981406e-18 -1.219798692443e-18 -1.275308337293e-18 -1.314336562529e-18 -1.327104000000e-18 
               180 -1.308109356292e-18 -1.305159052504e-18 -1.295395937655e-18 -1.264632663444e-18 -1.219785152366e-18 -1.275264860310e-18 -1.314321407563e-18 -1.327104000000e-18 
               190 -1.308109356292e-18 -1.305162262581e-18 -1.295408407466e-18 -1.264649585616e-18 -1.219781316247e-18 -1.275225828723e-18 -1.314306038878e-18 -1.327104000000e-18 
               200 -1.308109356292e-18 -1.305164347120e-18 -1.295416193467e-18 -1.264652046738e-18 -1.219786756920e-18 -1.275191300509e-18 -1.314291165360e-18 -1.327104000000e-18 
