#              step               time            E_total                m_x                m_y                m_z 
#                                    s                  J                                                          
                 1 0.000000000000e+00 3.686646313234e-18 1.550177261522e-06 -1.550177261318e-06 2.451037601098e-02 
                 1 0.000000000000e+00 3.686646313234e-18 1.550177261522e-06 -1.550177261318e-06 2.451037601098e-02 
                 2 5.000000000000e-11 3.696090391477e-18 -5.289605656824e-03 4.708816140708e-02 2.458599603468e-02 
                 2 5.000000000000e-11 3.696090391477e-18 -5.289605656824e-03 4.708816140708e-02 2.458599603468e-02 
                 3 1.000000000000e-10 3.714526269051e-18 -2.306285498489e-02 8.586843042765e-02 2.390962142555e-02 
                 3 1.000000000000e-10 3.714526269051e-18 -2.306285498489e-02 8.586843042765e-02 2.390962142555e-02 
                 4 1.500000000000e-10 3.745913897501e-18 -4.954768170011e-02 1.249496098393e-01 2.380558770890e-02 
                 4 1.500000000000e-10 3.745913897501e-18 -4.954768170011e-02 1.249496098393e-01 2.380558770890e-02 
                 5 2.000000000000e-10 3.784254806111e-18 -7.970309993905e-02 1.513480420178e-01 2.258215472017e-02 
                 5 2.000000000000e-10 3.784254806111e-18 -7.970309993905e-02 1.513480420178e-01 2.258215472017e-02 
                 6 2.500000000000e-10 3.829015260004e-18 -1.172275852589e-01 1.716557796633e-01 2.217113208889e-02 
                 6 2.500000000000e-10 3.829015260004e-18 -1.172275852589e-01 1.716557796633e-01 2.217113208889e-02 
                 7 3.000000000000e-10 3.875916339975e-18 -1.555698543326e-01 1.821862055454e-01 2.122790783377e-02 
                 7 3.000000000000e-10 3.875916339975e-18 -1.555698543326e-01 1.821862055454e-01 2.122790783377e-02 
                 8 3.500000000000e-10 3.920761014068e-18 -1.930863449054e-01 1.830813661682e-01 2.049768382608e-02 
                 8 3.500000000000e-10 3.920761014068e-18 -1.930863449054e-01 1.830813661682e-01 2.049768382608e-02 
                 9 4.000000000000e-10 3.962572142682e-18 -2.289058021435e-01 1.768594614504e-01 1.969494119919e-02 
                 9 4.000000000000e-10 3.962572142682e-18 -2.289058021435e-01 1.768594614504e-01 1.969494119919e-02 
                10 4.500000000000e-10 3.998108917744e-18 -2.608303471991e-01 1.606851355119e-01 1.897031982027e-02 
                10 4.500000000000e-10 3.998108917744e-18 -2.608303471991e-01 1.606851355119e-01 1.897031982027e-02 
                11 5.000000000000e-10 4.025704830060e-18 -2.879098204364e-01 1.403530251461e-01 1.838631964288e-02 
                11 5.000000000000e-10 4.025704830060e-18 -2.879098204364e-01 1.403530251461e-01 1.838631964288e-02 
                12 5.500000000000e-10 4.043411229285e-18 -3.069371449242e-01 1.145294734878e-01 1.831834159502e-02 
