#               step           E_total_1           E_total_2           E_total_3           E_total_4           E_total_5           E_total_6           E_total_7           E_total_8 
#                                      J                   J                   J                   J                   J                   J                   J                   J 
                 1 -1.308109356301e-18 -1.286842179278e-18 -1.240768265026e-18 -1.204880634162e-18 -1.206670842564e-18 -1.247738468735e-18 -1.301260110391e-18 -1.327104000000e-18 
                 2 -1.308109356301e-18 -1.288696025072e-18 -1.261113573885e-18 -1.222870830063e-18 -1.212152755651e-18 -1.261316224621e-18 -1.302908369851e-18 -1.327104000000e-18 
                 3 -1.308109356301e-18 -1.296945369967e-18 -1.272116505721e-18 -1.232030380105e-18 -1.214542004605e-18 -1.268375106281e-18 -1.309464991106e-18 -1.327104000000e-18 
                 4 -1.308109356301e-18 -1.299192119080e-18 -1.276024653603e-18 -1.237584468312e-18 -1.215667749364e-18 -1.270531779286e-18 -1.311111215084e-18 -1.327104000000e-18 
                 5 -1.308109356301e-18 -1.299923443699e-18 -1.277839892567e-18 -1.240955329943e-18 -1.216479213182e-18 -1.271546355691e-18 -1.311609873040e-18 -1.327104000000e-18 
                 6 -1.308109356301e-18 -1.301284462370e-18 -1.282746358929e-18 -1.250797716013e-18 -1.219638099782e-18 -1.274352107594e-18 -1.312584223207e-18 -1.327104000000e-18 
                 7 -1.308109356301e-18 -1.301246227419e-18 -1.285821988853e-18 -1.256894066264e-18 -1.222803450809e-18 -1.276150277201e-18 -1.312849553303e-18 -1.327104000000e-18 
                 8 -1.308109356301e-18 -1.228548082951e-18 -1.251368293217e-18 -1.256151415005e-18 -1.224780587794e-18 -1.270734017009e-18 -1.280554257997e-18 -1.327104000000e-18 
                 9 -1.308109356301e-18 -1.303414761215e-18 -1.290141553092e-18 -1.261549934922e-18 -1.225431324108e-18 -1.278205790884e-18 -1.314505530052e-18 -1.327104000000e-18 
                10 -1.308109356301e-18 -1.303563126247e-18 -1.290394769337e-18 -1.261905013589e-18 -1.225520755138e-18 -1.278331306179e-18 -1.314588266891e-18 -1.327104000000e-18 
                11 -1.308109356301e-18 -1.303642698266e-18 -1.290632492416e-18 -1.262117621891e-18 -1.225611843629e-18 -1.278454701272e-18 -1.314645013468e-18 -1.327104000000e-18 
                12 -1.308109356301e-18 -1.304383158963e-18 -1.292906888111e-18 -1.263698453451e-18 -1.226326861624e-18 -1.279641162640e-18 -1.315186139302e-18 -1.327104000000e-18 
                13 -1.308109356301e-18 -1.304451418267e-18 -1.293440501802e-18 -1.260993131438e-18 -1.226154434815e-18 -1.279798940448e-18 -1.315292905805e-18 -1.327104000000e-18 
                14 -1.308109356301e-18 -1.304084816470e-18 -1.293367093653e-18 -1.261623475981e-18 -1.226074237520e-18 -1.279922073806e-18 -1.315193802729e-18 -1.327104000000e-18 
                15 -1.308109356301e-18 -1.304524726405e-18 -1.293700627867e-18 -1.263983069401e-18 -1.226130991256e-18 -1.280070258706e-18 -1.315384759977e-18 -1.327104000000e-18 
                16 -1.308109356301e-18 -1.304742001766e-18 -1.293873598057e-18 -1.264104852652e-18 -1.226129223735e-18 -1.280111500290e-18 -1.315474719029e-18 -1.327104000000e-18 
                17 -1.308109356301e-18 -1.304777783073e-18 -1.293925401693e-18 -1.264124598697e-18 -1.226114454331e-18 -1.280127445774e-18 -1.315494045778e-18 -1.327104000000e-18 
                18 -1.308109356301e-18 -1.304809374540e-18 -1.294003044591e-18 -1.264138465289e-18 -1.226079259843e-18 -1.280153709448e-18 -1.315517587445e-18 -1.327104000000e-18 
                19 -1.308109356301e-18 -1.304875648584e-18 -1.294165103201e-18 -1.264161128521e-18 -1.225996830015e-18 -1.280205134343e-18 -1.315566437239e-18 -1.327104000000e-18 
                20 -1.308109356301e-18 -1.304904277027e-18 -1.295050826076e-18 -1.263497912062e-18 -1.224746227528e-18 -1.280444149297e-18 -1.315727516659e-18 -1.327104000000e-18 
                21 -1.308109356301e-18 -1.304802573278e-18 -1.295012072735e-18 -1.263282927450e-18 -1.224668162857e-18 -1.280432166676e-18 -1.315702188811e-18 -1.327104000000e-18 
                22 -1.308109356301e-18 -1.305279280698e-18 -1.295201566723e-18 -1.264567578253e-18 -1.224969030240e-18 -1.280456197565e-18 -1.315820907843e-18 -1.327104000000e-18 
                23 -1.308109356301e-18 -1.305280448110e-18 -1.295203583499e-18 -1.264572234211e-18 -1.224960147521e-18 -1.280452349371e-18 -1.315820363705e-18 -1.327104000000e-18 
                24 -1.308109356301e-18 -1.305284459274e-18 -1.295214214540e-18 -1.264592756428e-18 -1.224901349362e-18 -1.280426430760e-18 -1.315815753301e-18 -1.327104000000e-18 
                25 -1.308109356301e-18 -1.305280572080e-18 -1.295223902159e-18 -1.264604967949e-18 -1.224795297585e-18 -1.280377353978e-18 -1.315804633600e-18 -1.327104000000e-18 
