#               step                time             E_total                 m_x                 m_y                 m_z              E_exch             E_demag 
#         <unitless>                 <s>                 <J>          <unitless>          <unitless>          <unitless>                 <J>                 <J> 
                 0 +0.000000000000e+00 +3.686646313234e-18 +1.550177261522e-06 -1.550177261318e-06 +2.451037601098e-02 +2.720582132535e-18 +9.660641806981e-19 
                 1 +5.000000000000e-11 +3.696088686245e-18 -5.292773213629e-03 +4.708274231745e-02 +2.458597155553e-02 +2.718074853214e-18 +9.780138330306e-19 
                 2 +1.000000000000e-10 +3.714523227439e-18 -2.307351722117e-02 +8.586789125511e-02 +2.390998438792e-02 +2.719670773441e-18 +9.948524539982e-19 
                 3 +1.500000000000e-10 +3.745909940913e-18 -4.956251403364e-02 +1.249344386966e-01 +2.380540197845e-02 +2.716335937667e-18 +1.029574003246e-18 
                 4 +2.000000000000e-10 +3.784239512801e-18 -7.973052513847e-02 +1.513235257536e-01 +2.258235102401e-02 +2.722621146300e-18 +1.061618366501e-18 
                 5 +2.500000000000e-10 +3.828989328363e-18 -1.172581901423e-01 +1.716141489048e-01 +2.217146410236e-02 +2.716757867552e-18 +1.112231460811e-18 
                 6 +3.000000000000e-10 +3.875872695658e-18 -1.556049423413e-01 +1.821161357464e-01 +2.122845595417e-02 +2.719019741014e-18 +1.156852954644e-18 
                 7 +3.500000000000e-10 +3.920696123586e-18 -1.931298458960e-01 +1.829878871386e-01 +2.049809598748e-02 +2.716679348959e-18 +1.204016774626e-18 
                 8 +4.000000000000e-10 +3.962480185696e-18 -2.289409127715e-01 +1.767305303939e-01 +1.969619076068e-02 +2.717072900645e-18 +1.245407285051e-18 
                 9 +4.500000000000e-10 +3.997971840380e-18 -2.608563717547e-01 +1.605231977796e-01 +1.897061840245e-02 +2.714665467793e-18 +1.283306372587e-18 
                10 +5.000000000000e-10 +4.025506607960e-18 -2.878967022877e-01 +1.401714743663e-01 +1.839264190277e-02 +2.714103862628e-18 +1.311402745332e-18 
                11 +5.500000000000e-10 +4.043163844606e-18 -3.068855867862e-01 +1.143265755369e-01 +1.832156512385e-02 +2.707252801331e-18 +1.335911043274e-18 
                12 +6.000000000000e-10 +4.052451278418e-18 -3.201581433531e-01 +8.347599649075e-02 +1.775873494109e-02 +2.705782174530e-18 +1.346669103888e-18 
                13 +6.500000000000e-10 +4.051735410009e-18 -3.269472310630e-01 +5.258305679810e-02 +1.822324080013e-02 +2.700739421979e-18 +1.350995988030e-18 
                14 +7.000000000000e-10 +4.043624376049e-18 -3.256588605364e-01 +2.220135795219e-02 +1.817336269732e-02 +2.702641722812e-18 +1.340982653237e-18 
