#             steps         distance_1         distance_2         distance_3         distance_4         distance_5         distance_6         distance_7 
#                <>                 <>                 <>                 <>                 <>                 <>                 <>                 <> 
                 0 5.099231934098e+00 5.099231934098e+00 5.099231934098e+00 5.099231934098e+00 5.099231934098e+00 5.099231934098e+00 5.099231934098e+00 
                10 5.138850080197e+00 5.160546855498e+00 5.181991976015e+00 5.164199206412e+00 5.147410249721e+00 5.148942083314e+00 5.135271837576e+00 
                20 5.331072833070e+00 5.369926733032e+00 5.424982333061e+00 5.416171162853e+00 5.365701591352e+00 5.320990203267e+00 5.289751257172e+00 
                30 5.577092351766e+00 5.599718991349e+00 5.622068584594e+00 5.609760879313e+00 5.579273751538e+00 5.548515854903e+00 5.526632623458e+00 
                40 5.758753013882e+00 5.765690150705e+00 5.761351737492e+00 5.755097117234e+00 5.746181906278e+00 5.738119061351e+00 5.731137830318e+00 
                50 5.851492903963e+00 5.853169646712e+00 5.843679296513e+00 5.841426245702e+00 5.840751948993e+00 5.841353190487e+00 5.841144991935e+00 
                60 5.902397166731e+00 5.902489553693e+00 5.894105058774e+00 5.892138524915e+00 5.892597855687e+00 5.894406015415e+00 5.896035189293e+00 
                70 5.934558280697e+00 5.934005950000e+00 5.927302994828e+00 5.925054033164e+00 5.925054858940e+00 5.926203697318e+00 5.927991518037e+00 
                80 5.955772258955e+00 5.954941304341e+00 5.949600999812e+00 5.947336171353e+00 5.946793574666e+00 5.947225143616e+00 5.948643439793e+00 
                90 5.970186891788e+00 5.969255763518e+00 5.964971178303e+00 5.962885307870e+00 5.962018778858e+00 5.961921568401e+00 5.962890231626e+00 
               100 5.980235638109e+00 5.979296743800e+00 5.975851930216e+00 5.974010978712e+00 5.973028625743e+00 5.972550715262e+00 5.973131381944e+00 
               110 5.987292289560e+00 5.986391266839e+00 5.983632670590e+00 5.982027773421e+00 5.981091798622e+00 5.980320438475e+00 5.980621673483e+00 
               120 5.992138281247e+00 5.991319516343e+00 5.989073826670e+00 5.987742947062e+00 5.986829126252e+00 5.985967090031e+00 5.986012824696e+00 
               130 5.995662830595e+00 5.994913948100e+00 5.993140833147e+00 5.991984770984e+00 5.991267264687e+00 5.990228670779e+00 5.990180376732e+00 
               140 5.998172751863e+00 5.997534390314e+00 5.996084486066e+00 5.995195630410e+00 5.994489164600e+00 5.993537618064e+00 5.993317278265e+00 
               150 6.000153384321e+00 5.999592062336e+00 5.998479830553e+00 5.997732206428e+00 5.997223566492e+00 5.996185427220e+00 5.995957208961e+00 
               160 6.001758782160e+00 6.001297064107e+00 6.000430170640e+00 5.999886617756e+00 5.999432620415e+00 5.998473255297e+00 5.998172047492e+00 
               170 6.003180017906e+00 6.002825223656e+00 6.002146999846e+00 6.001830150156e+00 6.001355894959e+00 6.000551644428e+00 6.000151506947e+00 
               180 6.004614174376e+00 6.004339271200e+00 6.003874845835e+00 6.003698529206e+00 6.003325500901e+00 6.002532742837e+00 6.002133762841e+00 
               190 6.006127093506e+00 6.005923627608e+00 6.005662839620e+00 6.005604064181e+00 6.005345292519e+00 6.004531338876e+00 6.004156159496e+00 
               200 6.007752251058e+00 6.007638569137e+00 6.007522710767e+00 6.007645985701e+00 6.007368269901e+00 6.006656860396e+00 6.006224379179e+00 
               210 6.009609308744e+00 6.009574080683e+00 6.009611855537e+00 6.009885567734e+00 6.009628485059e+00 6.008954559808e+00 6.008497893241e+00 
               220 6.011785598330e+00 6.011820647432e+00 6.012023349945e+00 6.012424436191e+00 6.012221160123e+00 6.011526187813e+00 6.011071386296e+00 
