#               step          distance_1          distance_2          distance_3          distance_4          distance_5          distance_6          distance_7 
#                                                                                                                                                                
                 1 +5.099212786889e+00 +5.099212786889e+00 +5.099212786889e+00 +5.099212786889e+00 +5.099212786889e+00 +5.099212786889e+00 +5.099212786889e+00 
                 2 +5.099209522777e+00 +5.099211745107e+00 +5.099214537656e+00 +5.099216032265e+00 +5.099215185731e+00 +5.099212609944e+00 +5.099210060695e+00 
                 3 +5.204036602919e+00 +5.112101029895e+00 +5.116133946722e+00 +5.193030724013e+00 +5.140098164691e+00 +5.103005889274e+00 +5.184262055923e+00 
                 4 +5.188781342119e+00 +5.095336553438e+00 +5.157175942395e+00 +5.230667339847e+00 +5.152896444871e+00 +5.102842539131e+00 +5.165487758347e+00 
                 5 +5.190740241286e+00 +5.116170520066e+00 +5.206825911671e+00 +5.273090915036e+00 +5.164426114750e+00 +5.127368397583e+00 +5.167618328460e+00 
                 6 +5.194149401711e+00 +5.132133212646e+00 +5.249423892603e+00 +5.306931280262e+00 +5.174218797142e+00 +5.143866044316e+00 +5.171664373561e+00 
                 7 +5.215648806807e+00 +5.201084611035e+00 +5.438934687598e+00 +5.525169679796e+00 +5.225806944657e+00 +5.211632048423e+00 +5.194255607413e+00 
                 8 +5.241889361244e+00 +5.275759479875e+00 +5.642659763762e+00 +5.756222600817e+00 +5.317756251295e+00 +5.278696455852e+00 +5.221468941945e+00 
                 9 +5.404073492441e+00 +5.393170703231e+00 +5.993909742420e+00 +6.155741417463e+00 +5.479458934686e+00 +5.396421430990e+00 +5.314211170297e+00 
                10 +5.268583673717e+00 +5.327725881635e+00 +6.042786598428e+00 +6.121848863467e+00 +5.500553274334e+00 +5.433460076030e+00 +5.188146526277e+00 
                11 +5.271085578413e+00 +5.338829202264e+00 +6.061016784446e+00 +6.118461450911e+00 +5.513500067744e+00 +5.440216233827e+00 +5.192203732953e+00 
                12 +5.274434445533e+00 +5.352242994719e+00 +6.083351053000e+00 +6.124446733366e+00 +5.528567421911e+00 +5.448321689401e+00 +5.197238811845e+00 
                13 +5.327419265012e+00 +5.523023103101e+00 +6.354592392342e+00 +6.304064719689e+00 +5.715413288805e+00 +5.548992026943e+00 +5.268068117094e+00 
                14 +5.355525030270e+00 +5.615755539091e+00 +6.413714629804e+00 +6.449846295970e+00 +5.770800390243e+00 +5.596282708001e+00 +5.306309637017e+00 
                15 +5.364479636291e+00 +5.648487339171e+00 +6.402951179621e+00 +6.289352691232e+00 +5.786377450974e+00 +5.607680781216e+00 +5.318540280726e+00 
                16 +5.367192175665e+00 +5.662436546446e+00 +6.400927312126e+00 +6.341396324961e+00 +5.789810017608e+00 +5.613543232420e+00 +5.323259100028e+00 
                17 +5.370322494934e+00 +5.672965059485e+00 +6.401981582841e+00 +6.348781397698e+00 +5.794257795616e+00 +5.618208218891e+00 +5.327685523529e+00 
                18 +5.373159406203e+00 +5.680997392945e+00 +6.402553549407e+00 +6.351096193626e+00 +5.797764863946e+00 +5.621651239148e+00 +5.331330278325e+00 
                19 +5.379088200223e+00 +5.697171736418e+00 +6.403346893323e+00 +6.354210916709e+00 +5.804800348446e+00 +5.628497189699e+00 +5.338812221846e+00 
                20 +5.392949766603e+00 +5.733490207506e+00 +6.403623637945e+00 +6.356240202024e+00 +5.820284709620e+00 +5.643534440832e+00 +5.356036794290e+00 
